1,1,0
1,1,1
1,1,4
1,1,6
1,1,9
1,1,11
1,1,14
1,1,18
1,1,19
1,1,20
1,1,21
1,1,24
1,1,28
1,1,30
1,1,31
1,1,34
1,1,44
1,1,48
1,1,49
2,2,3
2,2,6
2,2,13
2,2,14
2,2,15
2,2,16
2,2,18
2,2,22
2,2,23
2,2,26
2,2,30
2,2,34
2,2,41
2,2,44
2,2,49
3,3,1
3,3,2
3,3,4
3,3,6
3,3,12
3,3,14
3,3,15
3,3,18
3,3,19
3,3,35
3,3,42
3,3,44
3,3,46
3,3,48
4,4,0
4,4,1
4,4,2
4,4,4
4,4,6
4,4,13
4,4,14
4,4,15
4,4,19
4,4,24
4,4,26
4,4,28
4,4,30
4,4,32
4,4,34
4,4,42
4,4,46
4,4,48
5,5,0
5,5,1
5,5,11
5,5,12
5,5,14
5,5,20
5,5,26
5,5,28
5,5,30
5,5,34
5,5,37
5,5,39
5,5,43
5,5,47
5,5,48
6,6,1
6,6,2
6,6,5
6,6,11
6,6,13
6,6,14
6,6,16
6,6,18
6,6,19
6,6,21
6,6,26
6,6,30
6,6,31
6,6,34
6,6,41
6,6,42
6,6,44
6,6,46
6,6,48
7,7,1
7,7,2
7,7,3
7,7,4
7,7,7
7,7,11
7,7,12
7,7,14
7,7,16
7,7,18
7,7,20
7,7,28
7,7,30
7,7,33
7,7,34
7,7,37
7,7,39
7,7,43
7,7,44
7,7,46
7,7,47
8,8,1
8,8,6
8,8,7
8,8,13
8,8,14
8,8,16
8,8,18
8,8,19
8,8,23
8,8,29
8,8,30
8,8,32
8,8,34
8,8,37
8,8,38
8,8,42
8,8,49
9,9,0
9,9,4
9,9,13
9,9,14
9,9,16
9,9,18
9,9,21
9,9,26
9,9,28
9,9,30
9,9,31
9,9,33
9,9,44
10,10,2
10,10,4
10,10,5
10,10,6
10,10,11
10,10,15
10,10,18
10,10,34
10,10,46
10,10,49
11,11,1
11,11,3
11,11,6
11,11,12
11,11,14
11,11,19
11,11,30
11,11,33
11,11,34
11,11,35
11,11,39
11,11,48
11,11,49
12,12,1
12,12,2
12,12,6
12,12,12
12,12,14
12,12,16
12,12,20
12,12,29
12,12,30
12,12,34
12,12,37
12,12,38
12,12,39
12,12,41
12,12,46
13,13,1
13,13,6
13,13,14
13,13,16
13,13,18
13,13,19
13,13,26
13,13,28
13,13,30
13,13,42
13,13,44
14,14,0
14,14,1
14,14,6
14,14,7
14,14,12
14,14,14
14,14,18
14,14,28
14,14,31
14,14,37
14,14,43
15,15,1
15,15,2
15,15,6
15,15,8
15,15,14
15,15,16
15,15,18
15,15,20
15,15,21
15,15,26
15,15,30
15,15,34
15,15,48
16,16,2
16,16,6
16,16,16
16,16,18
16,16,26
16,16,32
16,16,33
16,16,34
16,16,39
16,16,43
16,16,46
16,16,48
17,17,0
17,17,1
17,17,6
17,17,13
17,17,14
17,17,15
17,17,16
17,17,18
17,17,19
17,17,24
17,17,26
17,17,30
17,17,34
17,17,37
17,17,38
17,17,39
17,17,44
17,17,48
18,18,1
18,18,4
18,18,10
18,18,14
18,18,16
18,18,19
18,18,21
18,18,30
18,18,34
18,18,37
18,18,38
18,18,42
18,18,43
18,18,48
18,18,49
19,19,6
19,19,11
19,19,15
19,19,16
19,19,18
19,19,19
19,19,26
19,19,30
19,19,38
19,19,43
19,19,44
19,19,49
20,20,0
20,20,2
20,20,4
20,20,5
20,20,11
20,20,12
20,20,14
20,20,26
20,20,30
20,20,33
20,20,34
20,20,37
20,20,39
20,20,46
20,20,48
21,21,1
21,21,2
21,21,4
21,21,6
21,21,12
21,21,14
21,21,18
21,21,19
21,21,20
21,21,21
21,21,26
